courseCode,curriculumCode,subjectCode,academicUnitId,credits,hours,name,equivalentCodes,idealTerm,preRequirements,coRequirements,type
14102100,2017,1411311,1411,4,60,FUND DE MATEMATICA P/ C.DA COMPUTACAO I,"1109126,1109103",1,,,M
14102100,2017,1411174,1411,4,60,INTRODUO A COMPUTAO,,1,,,M
14102100,2017,1411180,1411,4,60,LABORATRIO DE PROGRAMAO I,,1,,1411167,M
14102100,2017,1411167,1411,4,60,PROGRAMAO I,,1,,1411180,M
14102100,2017,1109126,1109,4,60,CALCULO DIFERENCIAL E INTEGRAL I,1109103,2,1411311,,M
14102100,2017,1411312,1411,4,60,FUND DE MATEMATICA P/ C.DA COMPUTACAO II,"1109103,1109126",2,1411311,,M
14102100,2017,1411181,1411,4,60,LABORATRIO DE PROGRAMAO II,,2,"1411167,1411180",1411168,M
14102100,2017,1411168,1411,4,60,PROGRAMAO II,,2,"1411167,1411180",1411181,M
14102100,2017,1109049,1109,4,60,ALGEBRA LINEAR I,,3,1411312,,M
14102100,2017,1411305,1411,4,60,ESTRUTURA DE DADOS,1411172,3,"1411168,1411181",1411306,M
14102100,2017,1411306,1411,4,60,LABORATORIO DE ESTRUTURA DE DADOS,1411179,3,"1411168,1411181",1411305,M
14102100,2017,1411307,1411,4,60,LOGICA PARA COMPUTACAO,1411173,3,1411312,,M
14102100,2017,1109131,1109,4,60,CALCULO DIFERENCIAL E INTEGRAL II,1109053,3,1109126,,M
14102100,2017,1411304,1411,4,60,TEORIA DOS GRAFOS,"1411300,1411353",3,,,M
14102100,2017,1114129,1114,4,60,INTRODUO  PROBABILIDADE,1114107,4,"1109126,1411312",,M
14102100,2017,1411310,1411,4,60,ORGANIZACAO E ARQUIT. DE COMPUTADORES,1411175,4,1411174,1411182,M
14102100,2017,1411182,1411,4,60,LAB.DE ORG.E ARQUITETURA DE COMPUTADORES,,4,1411174,1411310,M
14102100,2017,1411309,1411,4,60,PARADIGMAS DE LINGUAGEM DE PROGRAMACAO,"1411299,1411354",4,"1411167,1411180",,M
14102100,2017,1411308,1411,4,60,PROJETO DE SOFTWARE,1411178,4,"1411167,1411180",,M
14102100,2017,1411193,1411,4,60,BANCO DE DADOS I,,4,1411305,,M
